Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.13     14.84     0.02   871921     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned char>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned char> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.13     14.86     0.02    56064     0.00     0.00  ggml_compute_forward_rms_norm
  0.13     14.88     0.02    46187     0.00     0.00  ggml_compute_forward_rope_f32
  0.13     14.90     0.02    23987     0.00     0.00  ggml_compute_forward_unary
  0.13     14.92     0.02      340     0.06     0.15  llama_decode_internal(llama_context&, llama_batch)
  0.10     14.94     0.02   211567     0.00     0.00  ggml_nrows
  0.07     14.95     0.01   816820     0.00     0.00  gguf_get_arr_str
  0.07     14.96     0.01   408611     0.00     0.00  gguf_fread_str
  0.07     14.97     0.01   238002     0.00     0.00  ggml_fp32_to_fp16_row
  0.07     14.98     0.01   128256     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, true>*, unsigned long)
  0.07     14.99     0.01      683     0.01     0.01  ggml_backend_sched_get_tensor_backend
  0.07     15.00     0.01      415     0.02     0.02  quantize_row_q8_1
  0.07     15.01     0.01      361     0.03     0.03  llama_set_inputs(llama_context&, llama_ubatch const&)
  0.07     15.02     0.01      340     0.03     0.03  ggml_graph_compute
  0.07     15.03     0.01      224     0.04     0.04  quantize_row_q8_K
  0.07     15.04     0.01                             ggml_vec_dot_q5_K_q8_K
  0.03     15.04     0.01  3082515     0.00     0.00  ggml_blck_size
  0.03     15.05     0.01   922769     0.00     0.00  ggml_n_dims
  0.03     15.05     0.01   729057     0.00     0.00  ggml_is_contiguous
  0.03     15.06     0.01   664991     0.00     0.00  ggml_is_contiguous_0
  0.03     15.06     0.01                             ggml_is_3d
  0.00     15.06     0.00  3314228     0.00     0.00  ggml_type_size
  0.00     15.06     0.00  3182328     0.00     0.00  unicode_cpt_from_utf8(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long&)
  0.00     15.06     0.00  1068458     0.00     0.00  ggml_is_empty
  0.00     15.06     0.00   985152     0.00     0.00  ggml_row_size
  0.00     15.06     0.00   872707     0.00     0.00  unicode_cpt_to_utf8[abi:cxx11](unsigned int)
  0.00     15.06     0.00   871921     0.00     0.00  unicode_utf8_to_byte(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     15.06     0.00   818795     0.00     0.00  gguf_get_n_kv
  0.00     15.06     0.00   817191     0.00     0.00  replace_all(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     15.06     0.00   560310     0.00     0.00  std::_Function_handler<unsigned int (unsigned int), llm_load_print_meta(llama_model_loader&, llama_model&)::{lambda(unsigned int)#4}>::_M_invoke(std::_Any_data const&, unsigned int&&)
  0.00     15.06     0.00   461275     0.00     0.00  ggml_nbytes
  0.00     15.06     0.00   409746     0.00     0.00  unicode_cpts_from_utf8(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     15.06     0.00   398486     0.00     0.00  ggml_backend_buft_get_alloc_size
  0.00     15.06     0.00   387162     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00     15.06     0.00   353652     0.00     0.00  ggml_backend_cpu_buffer_get_base(ggml_backend_buffer*)
  0.00     15.06     0.00   353652     0.00     0.00  ggml_backend_buffer_get_base
  0.00     15.06     0.00   314410     0.00     0.00  ggml_get_type_traits
  0.00     15.06     0.00   249657     0.00     0.00  ggml_cpu_has_f16c
  0.00     15.06     0.00   247678     0.00     0.00  ggml_format_name
  0.00     15.06     0.00   244998     0.00     0.00  llamafile_sgemm
  0.00     15.06     0.00   232721     0.00     0.00  ggml_nelements
  0.00     15.06     0.00   229531     0.00     0.00  ggml_backend_sched_backend_id_from_cur(ggml_backend_sched*, ggml_tensor*)
  0.00     15.06     0.00   211810     0.00     0.00  ggml_backend_cpu_device_supports_op(ggml_backend_device*, ggml_tensor const*)
  0.00     15.06     0.00   211810     0.00     0.00  ggml_backend_dev_supports_op
  0.00     15.06     0.00   211631     0.00     0.00  ggml_backend_supports_op
  0.00     15.06     0.00   180105     0.00     0.00  ggml_new_object
  0.00     15.06     0.00   177659     0.00     0.00  ggml_backend_buffer_init_tensor
  0.00     15.06     0.00   173887     0.00     0.00  ggml_are_same_shape
  0.00     15.06     0.00   156408     0.00     0.00  std::_Function_handler<void (ggml_tensor*, char const*, int), llama_build_graph(llama_context&, llama_ubatch const&, bool)::{lambda(ggml_tensor*, char const*, int)#1}>::_M_invoke(std::_Any_data const&, ggml_tensor*&&, char const*&&, int&&)
  0.00     15.06     0.00   145575     0.00     0.00  ggml_can_repeat
  0.00     15.06     0.00   145427     0.00     0.00  ggml_backend_cpu_buffer_type_is_host(ggml_backend_buffer_type*)
  0.00     15.06     0.00   145427     0.00     0.00  ggml_backend_buft_is_host
  0.00     15.06     0.00   144747     0.00     0.00  ggml_backend_cpu_device_supports_buft(ggml_backend_device*, ggml_backend_buffer_type*)
  0.00     15.06     0.00   144747     0.00     0.00  ggml_backend_dev_supports_buft
  0.00     15.06     0.00   144747     0.00     0.00  ggml_backend_supports_buft
  0.00     15.06     0.00   130443     0.00     0.00  llama_token_get_attr_impl(llama_vocab const&, int)
  0.00     15.06     0.00   130443     0.00     0.00  llama_token_to_piece_impl(llama_vocab const&, int, char*, int, int, bool)
  0.00     15.06     0.00   130443     0.00     0.00  llama_token_to_piece
  0.00     15.06     0.00   128292     0.00     0.00  gguf_data_to_str(gguf_type, void const*, int)
  0.00     15.06     0.00   128256     0.00     0.00  std::__detail::_Map_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     15.06     0.00   119394     0.00     0.00  ggml_new_tensor
  0.00     15.06     0.00   118535     0.00     0.00  ggml_backend_buffer_get_type
  0.00     15.06     0.00   118197     0.00     0.00  ggml_backend_buffer_get_size
  0.00     15.06     0.00   117851     0.00     0.00  ggml_backend_buffer_get_alloc_size
  0.00     15.06     0.00   117819     0.00     0.00  ggml_backend_tensor_alloc
  0.00     15.06     0.00    80977     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Iter_comp_iter<llama_sampler_typical_apply(llama_sampler*, llama_token_data_array*)::{lambda(unsigned long, unsigned long)#1}> >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Iter_comp_iter<llama_sampler_typical_apply(llama_sampler*, llama_token_data_array*)::{lambda(unsigned long, unsigned long)#1}>)
  0.00     15.06     0.00    72030     0.00     0.00  ggml_visit_parents
  0.00     15.06     0.00    68721     0.00     0.00  ggml_is_numa
  0.00     15.06     0.00    61266     0.00     0.00  ggml_dup_tensor
  0.00     15.06     0.00    59840     0.00     0.00  ggml_backend_view_init
  0.00     15.06     0.00    49848     0.00     0.00  ggml_is_transposed
  0.00     15.06     0.00    49848     0.00     0.00  ggml_mul_mat
  0.00     15.06     0.00    46703     0.00     0.00  ggml_rope_cache_init
  0.00     15.06     0.00    45029     0.00     0.00  ggml_compute_forward_add
  0.00     15.06     0.00    44346     0.00     0.00  ggml_rope_yarn_corr_dims
  0.00     15.06     0.00    38759     0.00     0.00  llm_build_lora_mm(llama_context&, ggml_context*, ggml_tensor*, ggml_tensor*)
  0.00     15.06     0.00    33271     0.00     0.00  ggml_build_forward_expand
  0.00     15.06     0.00    29514     0.00     0.00  ggml_get_unary_op
  0.00     15.06     0.00    27440     0.00     0.00  ggml_new_tensor_impl.constprop.0
  0.00     15.06     0.00    27440     0.00     0.00  ggml_view_tensor
  0.00     15.06     0.00    22632     0.00     0.00  ggml_element_size
  0.00     15.06     0.00    21952     0.00     0.00  ggml_new_tensor_impl.constprop.1
  0.00     15.06     0.00    21761     0.00     0.00  ggml_is_quantized
  0.00     15.06     0.00    16840     0.00     0.00  ggml_mul
  0.00     15.06     0.00    11319     0.00     0.00  ggml_rms_norm
  0.00     15.06     0.00    11008     0.00     0.00  ggml_is_vector
  0.00     15.06     0.00    10992     0.00     0.00  ggml_rope_ext
  0.00     15.06     0.00    10976     0.00     0.00  llm_build_kv(ggml_context*, llama_context&, llama_kv_cache const&, ggml_cgraph*, ggml_tensor*, ggml_tensor*, ggml_tensor*, ggml_tensor*, ggml_tensor*, ggml_tensor*, int, int, int, float, std::function<void (ggml_tensor*, char const*, int)> const&, int)
  0.00     15.06     0.00    10976     0.00     0.00  ggml_add
  0.00     15.06     0.00    10976     0.00     0.00  ggml_cpy
  0.00     15.06     0.00    10976     0.00     0.00  ggml_permute
  0.00     15.06     0.00    10976     0.00     0.00  ggml_reshape_3d
  0.00     15.06     0.00    10976     0.00     0.00  ggml_view_3d
  0.00     15.06     0.00    10913     0.00     0.00  ggml_backend_get_device
  0.00     15.06     0.00    10912     0.00     0.00  ggml_backend_sched_set_tensor_backend
  0.00     15.06     0.00    10878     0.00     0.00  gguf_get_tensor_name
  0.00     15.06     0.00     6631     0.00     0.00  ggml_new_tensor_4d
  0.00     15.06     0.00     5488     0.00     0.00  llm_build_kqv(ggml_context*, llama_context&, llama_kv_cache const&, ggml_cgraph*, ggml_tensor*, ggml_tensor*, ggml_tensor*, ggml_tensor*, int, int, float, std::function<void (ggml_tensor*, char const*, int)> const&, int)
  0.00     15.06     0.00     5488     0.00     0.00  llm_build_kv_store(ggml_context*, llama_hparams const&, llama_cparams const&, llama_kv_cache const&, ggml_cgraph*, ggml_tensor*, ggml_tensor*, int, int, std::function<void (ggml_tensor*, char const*, int)> const&, long)
  0.00     15.06     0.00     5488     0.00     0.00  ggml_cont_2d
  0.00     15.06     0.00     5488     0.00     0.00  ggml_cont_4d
  0.00     15.06     0.00     5488     0.00     0.00  ggml_is_contiguous_1
  0.00     15.06     0.00     5488     0.00     0.00  ggml_is_matrix
  0.00     15.06     0.00     5488     0.00     0.00  ggml_mul_mat_set_prec
  0.00     15.06     0.00     5488     0.00     0.00  ggml_new_tensor_impl.constprop.2
  0.00     15.06     0.00     5488     0.00     0.00  ggml_new_tensor_impl.constprop.3
  0.00     15.06     0.00     5488     0.00     0.00  ggml_silu
  0.00     15.06     0.00     5488     0.00     0.00  ggml_soft_max_ext
  0.00     15.06     0.00     5488     0.00     0.00  ggml_transpose
  0.00     15.06     0.00     5488     0.00     0.00  ggml_unary
  0.00     15.06     0.00     5488     0.00     0.00  ggml_view_1d
  0.00     15.06     0.00     5488     0.00     0.00  ggml_view_2d
  0.00     15.06     0.00     4833     0.00     0.00  ggml_gallocr_allocate_node
  0.00     15.06     0.00     4709     0.00     0.00  ggml_compute_forward_get_rows
  0.00     15.06     0.00     4123     0.00     0.00  llama_sampler_accept
  0.00     15.06     0.00     4068     0.00     0.00  llama_sampler_apply
  0.00     15.06     0.00     3038     0.00     0.00  ggml_set_name
  0.00     15.06     0.00     2053     0.00     0.00  ggml_time_us
  0.00     15.06     0.00     1613     0.00     0.00  gguf_get_key
  0.00     15.06     0.00     1554     0.00     0.00  ggml_critical_section_end
  0.00     15.06     0.00     1554     0.00     0.00  ggml_critical_section_start
  0.00     15.06     0.00     1372     0.00     0.00  ggml_set_input
  0.00     15.06     0.00     1212     0.00     0.00  ggml_free
  0.00     15.06     0.00     1211     0.00     0.00  ggml_init
  0.00     15.06     0.00     1110     0.00     0.00  ggml_new_tensor_1d
  0.00     15.06     0.00     1030     0.00     0.00  ggml_get_rows
  0.00     15.06     0.00     1029     0.00     0.31  (anonymous namespace)::tinyBLAS_Q0_AVX<block_q4_0, block_q8_0, float>::mnpack(long, long, long, long)
  0.00     15.06     0.00     1022     0.00     0.00  ggml_backend_is_cpu
  0.00     15.06     0.00     1022     0.00     0.00  ggml_guid_matches
  0.00     15.06     0.00      988     0.00     0.00  void (anonymous namespace)::tinyBLAS<8, float __vector(8), float __vector(8), unsigned short, float, float>::gemm<5, 2>(long, long, long, long)
  0.00     15.06     0.00      927     0.00     0.00  void (anonymous namespace)::tinyBLAS<8, float __vector(8), float __vector(8), unsigned short, float, float>::gemm<4, 2>(long, long, long, long)
  0.00     15.06     0.00      913     0.00     0.00  (anonymous namespace)::tinyBLAS<8, float __vector(8), float __vector(8), unsigned short, float, float>::mnpack(long, long, long, long)
  0.00     15.06     0.00      799     0.00     0.00  ggml_get_next_tensor
  0.00     15.06     0.00      790     0.00     0.00  common_log_add(common_log*, ggml_log_level, char const*, ...)
  0.00     15.06     0.00      790     0.00     0.00  common_log_main()
  0.00     15.06     0.00      735     0.00     0.00  ggml_get_name
  0.00     15.06     0.00      733     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_append<double const&>(double const&)
  0.00     15.06     0.00      693     0.00     0.00  ggml_graph_compute_with_ctx
  0.00     15.06     0.00      690     0.00     0.00  ggml_hash_set_reset
  0.00     15.06     0.00      690     0.00     0.00  ggml_hash_size
  0.00     15.06     0.00      687     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_append(unsigned long)
  0.00     15.06     0.00      684     0.00     0.00  ggml_backend_sched_reset
  0.00     15.06     0.00      684     0.00     0.00  llama_get_model
  0.00     15.06     0.00      680     0.00     0.00  llama_token_is_eog_impl(llama_vocab const&, int)
  0.00     15.06     0.00      680     0.00     0.00  ggml_backend_cpu_buffer_set_tensor(ggml_backend_buffer*, ggml_tensor*, void const*, unsigned long, unsigned long)
  0.00     15.06     0.00      680     0.00     0.00  ggml_backend_buffer_is_host
  0.00     15.06     0.00      680     0.00     0.00  ggml_backend_tensor_set
  0.00     15.06     0.00      680     0.00     0.00  ggml_graph_node
  0.00     15.06     0.00      680     0.00     0.00  llama_token_is_eog
  0.00     15.06     0.00      678     0.00     0.00  llama_sample_xtc_apply(llama_sampler*, llama_token_data_array*)
  0.00     15.06     0.00      678     0.00     0.00  llama_sampler_softmax_impl(llama_token_data_array*)
  0.00     15.06     0.00      565     0.00     0.00  common_params_parser_init(common_params&, llama_example, void (*)(int, char**))::{lambda(common_params&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)#92}::_FUN(common_params&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     15.06     0.00      532     0.00     0.00  ggml_aligned_free
  0.00     15.06     0.00      532     0.00     0.00  ggml_aligned_malloc
  0.00     15.06     0.00      524     0.00     0.00  common_params_parser_init(common_params&, llama_example, void (*)(int, char**))::{lambda(common_params&)#2}::_FUN(common_params&)
  0.00     15.06     0.00      522     0.00     0.00  format(char const*, ...)
  0.00     15.06     0.00      479     0.00     0.00  void (anonymous namespace)::tinyBLAS<8, float __vector(8), float __vector(8), unsigned short, float, float>::gemm<4, 3>(long, long, long, long)
  0.00     15.06     0.00      431     0.00     0.00  llama_log_internal(ggml_log_level, char const*, ...)
  0.00     15.06     0.00      431     0.00     0.00  llama_log_internal_v(ggml_log_level, char const*, __va_list_tag*)
  0.00     15.06     0.00      431     0.00     0.00  common_init()::{lambda(ggml_log_level, char const*, void*)#1}::_FUN(ggml_log_level, char const*, void*)
  0.00     15.06     0.00      385     0.00     0.00  common_arg::in_example(llama_example)
  0.00     15.06     0.00      376     0.00     0.00  common_arg::~common_arg()
  0.00     15.06     0.00      376     0.00     0.00  ggml_new_tensor_2d
  0.00     15.06     0.00      358     0.00     0.00  llama_sbatch::from_batch(llama_batch const&, unsigned long, bool, bool)
  0.00     15.06     0.00      355     0.00     0.00  llama_format_tensor_shape(ggml_tensor const*)
  0.00     15.06     0.00      347     0.00     0.00  std::pair<std::_Rb_tree_iterator<int>, bool> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_unique<int const&>(int const&)
  0.00     15.06     0.00      344     0.00     0.00  common_sampler_accept(common_sampler*, int, bool)
  0.00     15.06     0.00      344     0.00     0.00  common_token_to_piece[abi:cxx11](llama_context const*, int, bool)
  0.00     15.06     0.00      344     0.00     0.00  llama_sampler_dry_accept(llama_sampler*, int)
  0.00     15.06     0.00      344     0.00     0.00  llama_sampler_chain_accept(llama_sampler*, int)
  0.00     15.06     0.00      344     0.00     0.00  llama_sampler_penalties_accept(llama_sampler*, int)
  0.00     15.06     0.00      343     0.00     0.00  llama_build_graph(llama_context&, llama_ubatch const&, bool)
  0.00     15.06     0.00      343     0.00     0.00  ggml_backend_cpu_buffer_clear(ggml_backend_buffer*, unsigned char)
  0.00     15.06     0.00      343     0.00     0.00  llm_build_context::build_llama()
  0.00     15.06     0.00      343     0.00     0.00  std::_Function_handler<void (ggml_tensor*, char const*, int), llama_build_graph(llama_context&, llama_ubatch const&, bool)::{lambda(ggml_tensor*, char const*, int)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00     15.06     0.00      343     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<llama_tensor_dequantize_internal(ggml_tensor*, std::vector<no_init<float>, std::allocator<no_init<float> > >&, std::vector<std::thread, std::allocator<std::thread> >&, unsigned long, int)::{lambda(ggml_type, unsigned char*, float*, int)#1}, ggml_type, unsigned char*, float*, unsigned long> > >::_M_run()
  0.00     15.06     0.00      343     0.00     0.00  ggml_backend_buffer_clear
  0.00     15.06     0.00      343     0.00     0.00  ggml_backend_sched_synchronize
  0.00     15.06     0.00      343     0.00     0.00  ggml_backend_synchronize
  0.00     15.06     0.00      343     0.00     0.00  ggml_graph_view
  0.00     15.06     0.00      343     0.00     0.00  ggml_new_graph_custom
  0.00     15.06     0.00      342     0.00     0.00  llm_build_moe_ffn(ggml_context*, llama_context&, ggml_tensor*, ggml_tensor*, ggml_tensor*, ggml_tensor*, ggml_tensor*, long, long, llm_ffn_op_type, bool, bool, float, std::function<void (ggml_tensor*, char const*, int)> const&, int)
  0.00     15.06     0.00      342     0.00     0.00  console::set_display(console::display_t)
  0.00     15.06     0.00      342     0.00     0.00  std::vector<int*, std::allocator<int*> >::_M_default_append(unsigned long)
  0.00     15.06     0.00      342     0.00     0.00  std::vector<signed char, std::allocator<signed char> >::_M_default_append(unsigned long)
  0.00     15.06     0.00      342     0.00     0.00  ggml_cpu_init
  0.00     15.06     0.00      341     0.00     0.00  llama_output_reserve(llama_context&, unsigned long)
  0.00     15.06     0.00      341     0.00     0.00  llama_n_vocab
  0.00     15.06     0.00      340     0.00     0.00  common_sampler_last(common_sampler const*)
  0.00     15.06     0.00      340     0.00     0.00  llama_kv_cache_find_slot(llama_kv_cache&, llama_ubatch const&)
  0.00     15.06     0.00      340     0.00     0.03  ggml_backend_cpu_graph_compute(ggml_backend*, ggml_cgraph*)
  0.00     15.06     0.00      340     0.00     0.00  ggml_backend_cpu_buffer_get_tensor(ggml_backend_buffer*, ggml_tensor const*, void*, unsigned long, unsigned long)
  0.00     15.06     0.00      340     0.00     0.00  ggml_backend_buffer_reset
  0.00     15.06     0.00      340     0.00     0.00  ggml_backend_cpu_set_abort_callback
  0.00     15.06     0.00      340     0.00     0.00  ggml_backend_cpu_set_n_threads
  0.00     15.06     0.00      340     0.00     0.00  ggml_backend_cpu_set_threadpool
  0.00     15.06     0.00      340     0.00     0.00  ggml_backend_graph_compute_async
  0.00     15.06     0.00      340     0.00     0.02  ggml_backend_sched_alloc_graph
  0.00     15.06     0.00      340     0.00     0.03  ggml_backend_sched_graph_compute_async
  0.00     15.06     0.00      340     0.00     0.00  ggml_backend_sched_set_eval_callback
  0.00     15.06     0.00      340     0.00     0.00  ggml_backend_tensor_get
  0.00     15.06     0.00      340     0.00     0.00  ggml_backend_tensor_get_async
  0.00     15.06     0.00      340     0.00     0.00  ggml_gallocr_alloc_graph
  0.00     15.06     0.00      340     0.00     0.00  ggml_graph_plan
  0.00     15.06     0.00      340     0.00     0.00  llama_batch_get_one
  0.00     15.06     0.00      340     0.00     0.15  llama_decode
  0.00     15.06     0.00      340     0.00     0.00  llama_kv_cache_update
  0.00     15.06     0.00      340     0.00     0.00  llama_synchronize
  0.00     15.06     0.00      339     0.00     0.00  llama_sampler_dry_apply(llama_sampler*, llama_token_data_array*)
  0.00     15.06     0.00      339     0.00     0.00  llama_sampler_dist_apply(llama_sampler*, llama_token_data_array*)
  0.00     15.06     0.00      339     0.00     0.09  llama_sampler_top_k_impl(llama_token_data_array*, int)
  0.00     15.06     0.00      339     0.00     0.09  llama_sampler_chain_apply(llama_sampler*, llama_token_data_array*)
  0.00     15.06     0.00      339     0.00     0.00  llama_sampler_min_p_apply(llama_sampler*, llama_token_data_array*)
  0.00     15.06     0.00      339     0.00     0.00  llama_sampler_top_k_apply(llama_sampler*, llama_token_data_array*)
  0.00     15.06     0.00      339     0.00     0.00  llama_sampler_top_p_apply(llama_sampler*, llama_token_data_array*)
  0.00     15.06     0.00      339     0.00     0.00  llama_sampler_grammar_apply(llama_sampler*, llama_token_data_array*)
  0.00     15.06     0.00      339     0.00     0.00  llama_sampler_typical_apply(llama_sampler*, llama_token_data_array*)
  0.00     15.06     0.00      339     0.00     0.00  llama_sampler_temp_ext_apply(llama_sampler*, llama_token_data_array*)
  0.00     15.06     0.00      339     0.00     0.00  llama_sampler_penalties_apply(llama_sampler*, llama_token_data_array*)
  0.00     15.06     0.00      339     0.00     0.00  llama_sampler_logit_bias_apply(llama_sampler*, llama_token_data_array*)
  0.00     15.06     0.00      339     0.00     0.00  llama_sampler_grammar_accept_impl(llama_sampler*, int)
  0.00     15.06     0.00      339     0.00     0.00  llama_get_logits_ith
  0.00     15.06     0.00      276     0.00     0.00  llm_load_tensors(llama_model_loader&, llama_model&, int, llama_split_mode, int, float const*, bool, bool (*)(float, void*), void*)::{lambda(LLM_TN_IMPL const&, std::initializer_list<long> const&, int)#1}::operator()(LLM_TN_IMPL const&, std::initializer_list<long> const&, int) const
  0.00     15.06     0.00      258     0.00     0.00  std::vector<char, std::allocator<char> >::_M_default_append(unsigned long)
